	Sample-size	B-aire	SciSpacy	Hunflair	Bern2
0	50	0.9807692307692307	1.0	0.9565217391304348	0.8444444444444444
1	100	0.9830508474576272	0.9620253164556962	0.7931034482758621	0.8297872340425532
2	150	0.9848484848484849	0.9180327868852459	0.7647058823529411	0.8297872340425532
3	200	0.9887640449438202	0.9341317365269461	0.7913043478260869	0.8297872340425532
4	250	0.96	0.9162303664921466	0.7928571428571428	0.8297872340425532
5	300	0.9615384615384616	0.9298245614035088	0.8012048192771084	0.8297872340425532
6	350	0.9577464788732394	0.9132075471698113	0.806282722513089	0.8297872340425532
7	400	0.967032967032967	0.925	0.836	0.8297872340425532
8	450	0.9690721649484536	0.9145299145299145	0.8357664233576643	0.8297872340425532
9	500	0.9761904761904762	0.8964705882352941	0.8375	0.8297872340425532
10	550	0.9789473684210527	0.8989690721649485	0.8315217391304348	0.8297872340425532
11	600	0.9793103448275862	0.8840864440078585	0.8253968253968254	0.8297872340425532
12	650	0.9811912225705329	0.8878842676311031	0.836104513064133	0.8297872340425532
13	700	0.9637462235649547	0.8800675675675675	0.8364485981308412	0.8297872340425532
14	750	0.9655172413793104	0.8758064516129033	0.8333333333333334	0.8297872340425532
15	800	0.9584487534626038	0.8729198184568835	0.8390342052313883	0.8297872340425532
16	850	0.9592391304347826	0.8760683760683761	0.8445692883895131	0.8297872340425532
17	900	0.9602122015915119	0.8791208791208791	0.8396396396396396	0.8297872340425532
18	950	0.9640287769784173	0.8664072632944229	0.8384879725085911	0.8297872340425532
19	1000	0.9647058823529412	0.8644278606965174	0.8355704697986577	0.8297872340425532
20	1050	0.9652777777777778	0.8672985781990521	0.8373205741626795	0.8297872340425532
21	1100	0.9665924276169265	0.8537682789651294	0.8277439024390244	0.8297872340425532
22	1150	0.9567099567099567	0.8437158469945355	0.8189910979228486	0.8297872340425532
23	1200	0.9589322381930184	0.8183652875882946	0.8063186813186813	0.8297872340425532
24	1250	0.9619771863117871	0.8211143695014663	0.8080536912751678	0.8297872340425532
25	1300	0.9619771863117871	0.8084905660377358	0.7898832684824902	0.8297872340425532
26	1350	0.9622302158273381	0.8103448275862069	0.7913043478260869	0.8297872340425532
27	1400	0.9639794168096055	0.8144599303135889	0.7981109799291618	0.8297872340425532
28	1450	0.9652317880794702	0.8111946532999165	0.793918918918919	0.8297872340425532
29	1500	0.9664	0.8091419406575782	0.7944915254237288	0.8297872340425532
30	1550	0.9659969088098919	0.8092621664050236	0.7925696594427245	0.8297872340425532
31	1600	0.9679767103347889	0.8098859315589354	0.7878486055776892	0.8297872340425532
32	1650	0.9688385269121813	0.8144863266814486	0.7916666666666666	0.8297872340425532
33	1700	0.9700272479564033	0.813655761024182	0.782851817334576	0.8297872340425532
34	1750	0.9707057256990679	0.8132780082987552	0.7786811201445348	0.8297872340425532
35	1800	0.9711286089238845	0.8156650911546253	0.7754199823165341	0.8297872340425532
36	1850	0.9705128205128205	0.8143989431968296	0.7733105218135158	0.8297872340425532
37	1900	0.9710691823899371	0.8133074935400517	0.7719298245614035	0.8297872340425532
38	1950	0.9718137254901961	0.8101503759398496	0.7758064516129032	0.8297872340425532
39	2000	0.9727488151658767	0.8107617896009673	0.7809820732657833	0.8297872340425532
40	2050	0.9718640093786636	0.8095238095238095	0.7816091954022989	0.8297872340425532
41	2100	0.972972972972973	0.8118869013271783	0.7849702380952381	0.8297872340425532
42	2150	0.9688195991091314	0.8098471986417657	0.7879008746355685	0.8297872340425532
43	2200	0.9696641386782232	0.8126385809312638	0.7916964924838941	0.8297872340425532
44	2250	0.9698924731182795	0.8100922409115573	0.7905500705218618	0.8297872340425532
45	2300	0.9709241952232607	0.8139904610492846	0.7938144329896907	0.8297872340425532
46	2350	0.9711340206185567	0.8100470957613815	0.7942779291553134	0.8297872340425532
47	2400	0.9717171717171718	0.8113879003558719	0.7969676994067239	0.8297872340425532
48	2450	0.9722222222222222	0.8071393158155676	0.7903846153846154	0.8297872340425532
49	2500	0.9693978282329714	0.8018590998043053	0.7851291745431632	0.8297872340425532
50	2550	0.9697560975609756	0.7979846449136276	0.7804576376004947	0.8297872340425532
51	2600	0.9710820895522388	0.8009367681498829	0.7810615199034981	0.8297872340425532
52	2650	0.9668813247470102	0.8011152416356877	0.7804295942720764	0.8297872340425532
53	2700	0.9655485040797824	0.798900595510765	0.7792819305473808	0.8297872340425532
54	2750	0.9667541557305337	0.8024800708591674	0.7854710556186152	0.8297872340425532
55	2800	0.9672131147540983	0.7986171132238548	0.7730027548209366	0.8297872340425532
56	2850	0.967032967032967	0.7942808365343577	0.7681867535287731	0.8297872340425532
57	2900	0.9676884838442419	0.797489539748954	0.7716577540106951	0.8297872340425532
58	2950	0.9691455696202531	0.8004885993485342	0.7737909516380655	0.8297872340425532
