	Sample-size	B-aire	SciSpacy	Hunflair	Bern2
0	50	0.9902912621359222	1.0	0.9777777777777777	0.9156626506024096
1	100	0.9914529914529915	0.9806451612903226	0.8846153846153846	0.9069767441860465
2	150	0.9923664122137404	0.9572649572649572	0.8666666666666666	0.9069767441860465
3	200	0.9943502824858756	0.9659442724458205	0.883495145631068	0.9069767441860465
4	250	0.9795918367346939	0.9562841530054645	0.8844621513944223	0.9069767441860465
5	300	0.9803921568627451	0.9636363636363636	0.8896321070234113	0.9069767441860465
6	350	0.9784172661870503	0.9546351084812623	0.8927536231884058	0.9069767441860465
7	400	0.9832402234636871	0.961038961038961	0.9106753812636166	0.9069767441860465
8	450	0.9842931937172774	0.9553571428571429	0.9105367793240556	0.9069767441860465
9	500	0.9879518072289156	0.9454094292803971	0.9115646258503401	0.9069767441860465
10	550	0.9893617021276596	0.9467969598262759	0.9080118694362018	0.9069767441860465
11	600	0.9895470383275261	0.9384775808133473	0.9043478260869565	0.9069767441860465
12	650	0.990506329113924	0.9406130268199233	0.9107373868046571	0.9069767441860465
13	700	0.9815384615384616	0.9362084456424079	0.910941475826972	0.9069767441860465
14	750	0.9824561403508771	0.9337919174548581	0.9090909090909091	0.9069767441860465
15	800	0.9787835926449787	0.9321486268174475	0.912472647702407	0.9069767441860465
16	850	0.9791955617198335	0.9339407744874715	0.915736040609137	0.9069767441860465
17	900	0.9797023004059541	0.935672514619883	0.9128305582761999	0.9069767441860465
18	950	0.9816849816849816	0.9284225156358582	0.9121495327102803	0.9069767441860465
19	1000	0.9820359281437125	0.9272848565710474	0.9104204753199269	0.9069767441860465
20	1050	0.9823321554770319	0.9289340101522843	0.9114583333333334	0.9069767441860465
21	1100	0.9830124575311437	0.921116504854369	0.9057547956630526	0.9069767441860465
22	1150	0.9778761061946903	0.9152341434499112	0.900489396411093	0.9069767441860465
23	1200	0.9790356394129979	0.900110987791343	0.8927756653992396	0.9069767441860465
24	1250	0.9806201550387598	0.9017713365539453	0.8938381588715664	0.9069767441860465
25	1300	0.9806201550387598	0.8941053729786125	0.8826086956521739	0.9069767441860465
26	1350	0.9807516040329972	0.8952380952380952	0.883495145631068	0.9069767441860465
27	1400	0.9816593886462882	0.8977436389822372	0.8877216021011163	0.9069767441860465
28	1450	0.9823083403538332	0.8957564575645757	0.8851224105461395	0.9069767441860465
29	1500	0.9829129373474369	0.8945035460992907	0.885478158205431	0.9069767441860465
30	1550	0.9827044025157233	0.8945770065075923	0.8842832469775476	0.9069767441860465
31	1600	0.9837278106508875	0.8949579831932774	0.8813370473537604	0.9069767441860465
32	1650	0.9841726618705036	0.8977596741344195	0.8837209302325582	0.9069767441860465
33	1700	0.9847856154910096	0.8972549019607843	0.8782017773131208	0.9069767441860465
34	1750	0.9851351351351351	0.897025171624714	0.8755713560182834	0.9069767441860465
35	1800	0.985352862849534	0.898475269616958	0.8735059760956175	0.9069767441860465
36	1850	0.985035783994795	0.8977065890061885	0.8721659430776652	0.9069767441860465
37	1900	0.9853222718570517	0.8970431065194158	0.8712871287128713	0.9069767441860465
38	1950	0.9857054070851461	0.8951194184839044	0.8737511353315167	0.9069767441860465
39	2000	0.9861861861861861	0.8954924874791319	0.8770240700218818	0.9069767441860465
40	2050	0.985731272294887	0.8947368421052632	0.8774193548387098	0.9069767441860465
41	2100	0.9863013698630138	0.8961783439490446	0.8795331388078367	0.9069767441860465
42	2150	0.9841628959276018	0.8949343339587242	0.8813697513249082	0.9069767441860465
43	2200	0.9845984598459846	0.8966360856269113	0.8837395125848981	0.9069767441860465
44	2250	0.9847161572052402	0.895083932853717	0.8830248129184718	0.9069767441860465
45	2300	0.9852476290832455	0.897458369851008	0.8850574712643678	0.9069767441860465
46	2350	0.9853556485355648	0.8950563746747615	0.8853454821564162	0.9069767441860465
47	2400	0.9856557377049181	0.8958742632612967	0.8870139398385913	0.9069767441860465
48	2450	0.9859154929577464	0.8932784636488339	0.882921589688507	0.9069767441860465
49	2500	0.9844611528822055	0.890035297311974	0.8796328979879986	0.9069767441860465
50	2550	0.984645864289252	0.8876434480918067	0.8766932962834316	0.9069767441860465
51	2600	0.9853289162328442	0.8894668400520156	0.8770741618692854	0.9069767441860465
52	2650	0.9831618334892424	0.8895768833849329	0.8766756032171582	0.9069767441860465
53	2700	0.9824723247232472	0.8882098293863	0.8759510420112471	0.9069767441860465
54	2750	0.9830960854092526	0.8904176904176904	0.8798474253019707	0.9069767441860465
55	2800	0.9833333333333333	0.8880345987506006	0.8719701678060907	0.9069767441860465
56	2850	0.9832402234636871	0.8853472882968602	0.868897758673626	0.9069767441860465
57	2900	0.983578947368421	0.8873370577281191	0.8711137941442801	0.9069767441860465
58	2950	0.9843310566492567	0.8891904115784713	0.872471416007036	0.9069767441860465
