	Sample-size	B-aire	SciSpacy	Hunflair
0	10	1.0	0.5	1.0
1	20	1.0	0.75	0.75
2	30	1.0	0.8	0.7142857142857143
3	40	1.0	0.9	0.8181818181818182
4	50	1.0	0.9090909090909091	0.8333333333333334
5	60	1.0	0.9090909090909091	0.8333333333333334
6	70	1.0	0.9090909090909091	0.8333333333333334
7	80	1.0	0.9090909090909091	0.7857142857142857
8	90	1.0	0.9230769230769231	0.7857142857142857
9	100	1.0	0.9230769230769231	0.7857142857142857
10	110	1.0	0.9333333333333333	0.8125
11	120	1.0	0.9333333333333333	0.8125
12	130	1.0	0.9090909090909091	0.8260869565217391
13	140	1.0	0.9166666666666666	0.8461538461538461
14	150	1.0	0.8846153846153846	0.8148148148148148
15	160	1.0	0.8214285714285714	0.7586206896551724
16	170	1.0	0.8275862068965517	0.7666666666666667
17	180	1.0	0.8064516129032258	0.7941176470588235
18	190	1.0	0.8064516129032258	0.8
19	200	1.0	0.7878787878787878	0.8055555555555556
20	210	1.0	0.7878787878787878	0.8055555555555556
21	220	1.0	0.7714285714285715	0.8108108108108109
22	230	1.0	0.7837837837837838	0.825
23	240	0.9230769230769231	0.7948717948717948	0.8292682926829268
24	250	0.9230769230769231	0.8048780487804879	0.8333333333333334
25	260	0.9333333333333333	0.8181818181818182	0.8333333333333334
26	270	0.9333333333333333	0.8043478260869565	0.8333333333333334
27	280	0.9333333333333333	0.8085106382978723	0.8333333333333334
28	290	0.9333333333333333	0.8085106382978723	0.8181818181818182
29	300	0.9333333333333333	0.8085106382978723	0.8181818181818182
30	310	0.9333333333333333	0.8125	0.8222222222222222
31	320	0.9333333333333333	0.8163265306122449	0.8085106382978723
32	330	0.9333333333333333	0.8113207547169812	0.8235294117647058
33	340	0.9333333333333333	0.8113207547169812	0.8235294117647058
34	350	0.9333333333333333	0.8113207547169812	0.8235294117647058
35	360	0.9333333333333333	0.7962962962962963	0.8235294117647058
36	370	0.9375	0.765625	0.8421052631578947
37	380	0.9375	0.765625	0.8421052631578947
38	390	0.9375	0.7538461538461538	0.8421052631578947
39	400	0.9375	0.7313432835820896	0.8421052631578947
40	410	0.9375	0.7323943661971831	0.8387096774193549
41	420	0.9375	0.7323943661971831	0.8387096774193549
42	430	0.9411764705882353	0.7361111111111112	0.84375
43	440	0.9444444444444444	0.7361111111111112	0.84375
44	450	0.9473684210526315	0.75	0.8529411764705882
45	460	0.95	0.7532467532467533	0.855072463768116
46	470	0.95	0.7564102564102564	0.8450704225352113
47	480	0.95	0.7564102564102564	0.8333333333333334
48	490	0.95	0.7530864197530864	0.8356164383561644
49	500	0.95	0.7530864197530864	0.8356164383561644
50	510	0.95	0.7558139534883721	0.8378378378378378
51	520	0.9523809523809523	0.7613636363636364	0.8461538461538461
52	530	0.9523809523809523	0.7613636363636364	0.8461538461538461
53	540	0.9523809523809523	0.7613636363636364	0.8461538461538461
54	550	0.9545454545454546	0.7640449438202247	0.8461538461538461
55	560	0.9545454545454546	0.7555555555555555	0.8461538461538461
56	570	0.9545454545454546	0.75	0.8481012658227848
57	580	0.9545454545454546	0.7446808510638298	0.8518518518518519
58	590	0.9545454545454546	0.7446808510638298	0.8536585365853658
59	600	0.9545454545454546	0.7446808510638298	0.8554216867469879
60	610	0.9545454545454546	0.7368421052631579	0.8554216867469879
61	620	0.9545454545454546	0.7291666666666666	0.8554216867469879
62	630	0.9565217391304348	0.7216494845360825	0.8452380952380952
63	640	0.9565217391304348	0.7244897959183674	0.8488372093023255
64	650	0.9565217391304348	0.7244897959183674	0.8505747126436781
65	660	0.9565217391304348	0.7244897959183674	0.8505747126436781
66	670	0.9565217391304348	0.7244897959183674	0.8522727272727273
67	680	0.9565217391304348	0.7244897959183674	0.8522727272727273
68	690	0.96	0.7244897959183674	0.8522727272727273
